index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Windforce	100	1		1		80	73	6lw	Hydra Bow			5	5000	dyel	dyel						dex		5	5	dmg/lvl	25			hit-skill	240	10	25	manasteal		6	8	knock		1	1	dmg%		250	325	swing2		20	20	str		10	10																	0
Rings																																																																					0
Bul Katho's Wedding Band	100	1		1		66	58	rin	Ring			5	5000	dpur	dpur						hp/lvl	4			allskills		1	1	lifesteal		3	5	stam		50	50																																	0
The Cat's Eye	100	1		5		58	50	amu	Amulet			5	5000	oran	oran						move2		30	30	swing2		20	20	ac		100	100	ac-miss		100	100	dex		25	25																													0
The Rising Sun	100	1		5		73	65	amu	Amulet			5	5000	lgld	lgld						abs-fire/lvl	2			light		4	4	gethit-skill	56	4	23	fireskill		1	2	regen		10	10	fire-min		80	124	fire-max		200	248	pierce-fire		6	12																	0
Crescent Moon	100	1		5		58	50	amu	Amulet			5	5000	lblu	lblu						manasteal		4	8	red-mag		5	10	swing2		10	10	cast1		10	10	mana		45	45	lifesteal		3	6	coldskill		1	2																					0
Mara's Kaleidoscope	100	1		5		80	67	amu	Amulet			5	5000	oran	oran						allskills		2	2	res-all		20	30	str		5	5	dex		5	5	vit		5	5	enr		5	5																									0
Atma's Scarab	100	1		5		60	60	amu	Amulet			5	5000	cgrn	cgrn						dmg-pois	100	1024	1024	res-pois		30	60	light		3	3	thorns		400	600	hit-skill	66	7	8	att%		40	60																									0
Dwarf Star	100	1		10		53	45	rin	Ring			5	5000	dgry	dgry						gold%		100	100	stam		35	50	block		3	5	hp		35	50	red-mag		12	15	abs-fire%		4	8																									0
Raven Frost	100	1		10		53	45	rin	Ring			5	5000	cblu	cblu						nofreeze		1	1	dmg-cold	100	15	45	abs-cold%		20	20	mana		40	40	dex		15	20	att		150	250																									0
Highlord's Wrath	100	1		5		73	65	amu	Amulet			5	5000	bwht	bwht						res-ltng		25	35	dmg-ltng		1	300	swing2		20	20	allskills		1	1	deadly/lvl	2			light-thorns		400	650																									0
Saracen's Chance	100	1		5		55	47	amu	Amulet			5	5000	dpur	dpur						res-all		15	25	oskill	76	3	7	str		12	12	dex		12	12	enr		12	12	vit		12	12	res-curs-len		50	50																					0
Class Specific																																																																					0
Arreat's Face	100	1		1		50	42	baa	Slayer Guard			5	5000								bar		2	2	skilltab	12	1	2	ac%		150	200	balance2		30	30	att%		20	20	str		10	20	dex		10	20	lifesteal		3	6	res-all		20	20													0
Homunculus	100	1		1		50	42	nea	Heirophant Trophy			5	5000								nec		2	2	ac%		150	200	block2		30	30	block		40	40	enr		20	20	regen-mana		33	33	mana-kill		3	5	res-all		25	35																	0
Titan's Revenge	100	1		1		50	42	ama	Ceremonial Javelin			5	5000								ama		1	2	skilltab	2	2	2	dmg%		150	250	move2		30	30	rep-quant	30			str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50	stack		60	60									0
Lycander's Aim	100	1		1		50	42	am7	Ceremonial Bow			5	5000								ama		2	2	skilltab	0	2	2	dmg%		200	250	swing2		20	20	dmg-ac		-25	-50	dex		20	20	enr		20	20	manasteal		5	8	dmg-norm		25	50													0
Lycander's Flank	100	1		1		50	42	am9	Ceremonial Pike			5	5000								ama		2	2	skilltab	2	2	2	dmg%		250	300	swing2		30	30	ac%		20	20	str		20	20	vit		20	20	lifesteal		5	9	dmg-norm		25	50													0
The Oculus	100	1		1		50	42	oba	Swirling Crystal			5	5000								sor		1	3	gethit-skill	54	2	1	res-all		10	25	cast2		30	30	ac%		20	20	vit		20	20	enr		20	20	mana-kill		5	5	mag%		50	50													0
Herald of Zakarum	100	1		1		50	42	pa9	Aerin Shield			5	5000								pal		2	2	skilltab	9	2	2	ac%		150	200	block2		30	30	block		30	30	str		20	20	vit		20	20	att%		20	20	res-all		50	50													0
Cutthroat1	100	1		1		50	42	9tw	Runic Talons			5	5000								ass		2	2	skilltab	20	1	2	dmg%		200	300	balance2		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50													0
Jalal's Mane	100	1		1		50	42	dra	Dream Spirit			5	5000								dru		2	2	skilltab	16	1	2	ac%		150	200	balance2		30	30	att%		20	20	str		15	20	enr		15	20	mana-kill		5	5	res-all		25	25													0
The Scalper	100	1		1		65	57	9ta	Francisca			5	5000								rep-quant	30			dmg%		200	250	att%		25	25	swing2		20	20	openwounds		33	33	lifesteal		4	6	mana-kill		4	4																					0
Bloodmoon	100	1		1		69	61	7sb	elegant blade			5	5000	cred	cred		invsbru				dmg%		210	260	lifesteal		10	15	charged	BloodGolem	29	15	heal-kill		7	13	openwounds		50	50	charged	54	9	15																									0
Djinnslayer	100	1		1		73	65	7sm	ataghan			5	5000	dpur	dpur		invscmu				dmg%		190	240	dmg-fire		250	500	dmg-demon		100	150	att-demon		200	300	abs-ltng		3	7	manasteal		3	6	sock		1	2																					0
Deathbit	100	1		1		52	44	9tk	battle dart			5	5000								deadly		40	40	dmg%		180	230	att		200	450	lifesteal		7	9	manasteal		4	6	rep-quant	25																											0
Warshrike	100	1		1		83	75	7bk	winged knife			5	5000	bwht	bwht		invtk3				dmg%		250	300	pierce		50	50	swing2		30	30	deadly		50	50	rep-quant	30			hit-skill	Nova	25	19																									0
Gutsiphon	100	1		1		79	71	6rx	demon crossbow			5	5000	lgrn	lgrn		invrxbu				dmg%		320	440	pierce		33	33	lifesteal		12	18	slow		25	25	openwounds		33	33	regen		-5	-10																									0
Razoredge	100	1		1		75	67	7ha	tomahawk			5	5000	lblu			invhaxu				dmg%		175	275	swing2		40	40	reduce-ac		33	33	deadly		50	50	openwounds		50	50																													0
Gore Ripper	100			1								5	5000	dred	dred																																																						0
Demonlimb	100	1		1		71	63	7sp	tyrant club			5	5000	dgrn	dgrn		invspcu				dmg%		180	230	dmg-fire		222	333	lifesteal		7	13	charged	Enchant	20	23	rep-dur	5			dmg-demon		123	123	res-fire		15	20																					0
Steelshade	100	1		1		70	62	ulm	armet			5	5000	blac	blac		invhlmu				ac%		100	130	abs-fire		5	11	manasteal		4	8	regen		10	18	allskills		1	2	block		20	20	block1		30	30	mag%		15	30																	0
Tomb Reaver	100	1		1		86	84	7pa	cryptic axe	1		5	5000	lyel	lyel						swing2		60	60	light		4	4	dmg%		200	280	dmg-undead		150	230	mag%		50	80	res-all		30	50	att-undead		250	350	reanimate	1	10	10	heal-kill		10	14	sock		1	3									0
Deaths's Web	100	1		1		74	66	7gw	unearthed wand			5	5000	bwht	bwht						allskills		2	2	pierce-pois		40	50	heal-kill		7	12	mana-kill		7	12	skilltab	7	1	2																													0
Nature's Peace	100	1		3		77	69	rin	ring			5	5000	dgrn	dgrn						noheal		1	1	rip		1	1	red-dmg		7	11	oskill	Oak Sage	1	3	res-all-max		1	3																													0
Azurewrath	100	1		1		87	85	7cr	phase blade	1		5	5000	lgry			invcrs				dmg-mag		250	500	dmg%		230	270	aura	Sanctuary	10	13	dmg-cold	250	250	500	swing2		30	30	all-stats		5	10	light		3	3	allskills		1	1																	0
Seraph's Hymn	100	1		3		73	65	amu	amulet			5	5000	bwht	bwht		invamu2				allskills		2	2	skilltab	11	1	2	dmg-demon		50	80	dmg-undead		50	80	att-demon		150	250	att-undead		150	250	light		2	2																					0
Zakarum's Salvation	100			1								5	5000																																																								0
Fleshripper	100	1		1		76	68	7kr	fanged knife			5	5000	dred	dred		invkrsu				dmg%		200	300	reduce-ac		50	50	noheal		1	1	crush		25	25	openwounds		50	50	deadly		33	33	slow		20	20																					0
Odium	100			1								5	5000	blac																																																							0
Horizon's Tornado	100	1		5		72	64	7fl	scourge			5	5000	dpur	dpur						dmg%		250	300	swing2		50	50	cast3		30	30	hit-skill	245	20	15	skill	245	2	4	skill	240	2	4																									0
Stone Crusher	100	1		4		76	68	7wh	legendary mallet			5	5000	whit							dmg%		280	320	str		20	30	crush		40	40	reduce-ac		25	25	dmg-ac		-100	-100	dmg		10	30																									0
Jadetalon	100	1		1		74	66	7wb	wrist sword			5	5000	cgrn	cgrn						dmg%		190	320	manasteal		10	15	res-all		30	50	balance2		30	30	skilltab	19	1	2	skilltab	20	1	2																									0
Shadowdancer	100	1		1		79	71	uhb	myrmidon greaves			5	5000	blac	blac						ac%		70	100	move2		30	30	balance2		30	30	dex		15	25	skilltab	19	1	2	ease		-20	-20																									0
Cerebus	100	1		1		71	63	drb	blood spirit			5	5000	bwht	bwht						ac%		130	140	skilltab	16	2	4	lifesteal		7	10	att%		60	120	openwounds		33	33	skill	feral rage	1	2	deadly		33	33	skill	242	1	2																	0
Tyrael's Might	100	1		1		87	84	uar	sacred armor	1		5	5000	dblu	dblu		invaaru				ease		-100	-100	indestruct		1	1	ac%		120	150	dmg-undead		70	120	dmg-demon		70	120	nofreeze		1	1	move2		45	45	res-all		20	30	str		20	30	res-curs-len		75	75									0
Souldrain	100	1		1		82	74	umg	vambraces			5	5000	dred	dred						ac%		90	120	manasteal		4	7	lifesteal		4	7	thorns		600	860	dmg-ac		-200	-200	balance2		20	20	pierce		20	20																					0
Runemaster	100	1		1		80	72	72a	ettin axe			5	5000	lblu	lblu						dmg%		220	270	sock		3	5	res-cold-max		5	5	nofreeze		1	1																																	0
Deathcleaver	100	1		1		78	70	7wa	berserker axe			5	5000	dred							dmg%		230	280	deadly		66	66	reduce-ac		33	33	swing2		40	40	heal-kill		6	9																													0
Executioner's Justice	100	1		1		83	75	7gi	glorious axe			5	5000	blac	blac						dmg%		270	320	crush		25	25	reduce-ac		33	33	kill-skill	66	50	6	swing2		30	30																													0
Stoneraven	100	1		1		72	64	amd	matriarchal spear			5	5000	dgry							dmg%		330	380	dmg-mag		101	187	res-all		30	50	ac		400	600	skilltab	2	1	3																													0
Leviathan	100	1		1		73	65	uld	kraken shell			5	5000	cgrn	cgrn						ac%		170	200	ac		100	150	red-dmg%		15	25	str		40	50	indestruct		1	1																													0
Larzuk's Champion	100			1								5	5000	lgry		flphmr	invhfh																																																				0
Wisp	100	1		1		84	76	rin	ring			5	5000	bwht	bwht						abs-ltng%		4	6	allskills		1	1	mag%		8	12	oskill	Heart of Wolverine	1	3	oskill	Spirit of Barbs	1	3																													0
Gargoyle's Bite	100	1		1		78	70	7ts	winged harpoon			5	5000	cgrn	cgrn						dmg%		180	330	rep-quant	30			pierce-pois		10	20	poisonskill		2	4	lifesteal		9	15																													0
Lacerator	100	1		1		76	68	7b8	winged axe			5	5000	blac	blac						dmg%		200	260	rep-quant	25			swing2		30	30	noheal		1	1	openwounds		33	33	hit-skill	Amplify Damage	33	16																									0
Mang Song's Lesson	100	1		1		86	82	6ws	archon staff			5	5000	dgld	dgld		inv8wsu				allskills		6	6	pierce-fire		7	15	pierce-ltng		7	15	pierce-cold		7	15	regen-mana		10	30	cast2		50	50																									0
Viperfork	100	1		1		79	71	7br	war fork			5	5000	dgrn	dgrn						dmg%		240	290	dmg-pois	100	4000	4000	swing2		50	50	att		200	250	hit-skill	Poison Explosion	15	29	res-pois		30	50	poisonskill		1	3	extra-pois		10	30																	0
Ethereal Edge	100	1		1		82	74	7ba	silver-edged axe			5	5000	whit	whit						dmg%		150	180	swing2		25	25	abs-fire		10	12	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1																	0
Demonhorn's Edge	100	1		1		69	61	bad	destroyer helm			5	5000	dgry	dgry						res-all		25	25	swing2		10	10	red-dmg		18	24	thorns		855	977	skilltab	12	1	3	skilltab	13	1	3	skilltab	14	1	3	vit		20	20																	0
The Reaper's Toll	100	1		1		83	75	7s8	thresher			5	5000				invscy				dmg%		190	290	hit-skill	Decrepify	33	16	ignore-ac		1	1	lifesteal		11	15	ease		-25	-25	deadly		33	33	dmg-cold		4	44																					0
Spiritkeeper	100	1		1		75	67	drd	earth spirit			5	5000								ac%		170	190	balance2		20	20	abs-ltng		9	14	res-fire		30	40	abs-cold%		5	15	res-pois-max		10	10	dru		1	2	skill-rand	2	221	250																	0
Hellrack	100	1		1		84	76	6hx	colossus crossbow			5	5000	cred			invhxbu				dmg%		180	230	dmg-elem	33	63	324	swing2		20	20	att%		100	150	sock		2	2	skill	27	3	4	skill	16	3	5																					0
Alma Negra	100	1		1		85	77	pac	sacred rondache			5	5000	blac	blac						ac%		180	210	block2		30	30	pal		1	2	block		20	20	red-mag		10	18	att%		40	75	dmg%		70	125																					0
Darkforge Spawn	100	1		1		72	64	nef	bloodlord skull			5	5000	cred	cred						ac%		140	180	cast2		30	30	mana%		10	20	magicskill		1	2	res-fire		50	50	skilltab	8	1	2	swing2		20	20	reanimate	457	6	12																	0
Widowmaker	100	1		1		73	65	6sw	ward bow			5	5000	dred	dred		invswbu				dmg%		150	350	deadly		33	33	ignore-ac		1	1	magicarrow		11	11	oskill	22	3	5	oskill	12	3	5																									0
Bloodraven's Charge	100	1		1		79	71	amb	matriarchal bow			5	5000	dgld	dgld		invswbu				dmg%		180	330	att%		200	300	explosivearrow		13	13	skilltab	0	2	4	charged	Revive	30	5	oskill	7	2	3	reanimate	5	8	16																					0
Ghostflame	100	1		1		70	62	7bl	legend spike			5	5000	cblu	cblu						dmg%		190	340	ignore-ac		1	1	dmg-mag		108	216	manasteal		10	15	ethereal		1	1	indestruct		1	1	light		2	2																					0
Shadowkiller	100	1		1		85	78	7cs	battle cestus			5	5000				invaxfu				dmg%		170	270	reduce-ac		25	25	freeze		2	2	mana-kill		10	15	hit-skill	Frost Nova	33	18	ethereal		1	1	indestruct		1	1	cast2		20	20	skilltab	19	2	4													0
Gimmershred	100	1		1		78	70	7ta	flying axe			5	5000	lgrn							dmg%		190	240	dmg-fire		258	523	dmg-cold	100	216	437	dmg-ltng		29	581	stack		60	60	swing2		30	30																									0
Griffon's Eye	100	1		1		84	76	ci3	diadem			5	5000								ac		100	200	cast2		25	25	allskills		1	1	extra-ltng		10	15	pierce-ltng		15	20																													0
Windhammer	100	1		1		76	68	7m7	ogre maul			5	5000	cblu	cblu		invmau				dmg%		230	280	crush		50	50	swing2		60	60	hit-skill	Twister	33	22																																	0
Thunderstroke	100	1		1		77	69	amf	matriarchal javelin			5	5000	dblu	dblu						dmg%		200	250	dmg-ltng		1	511	hit-skill	Lightning	20	28	swing2		15	15	pierce-ltng		15	15	skill	Lightning Bolt	3	3	skilltab	2	2	4																					0
Giantmaimer	100			1								5	5000	cred	cred																																																						0
Demon's Arch	100	1		1		76	68	7s7	balrog spear			5	5000	cred	cred						dmg%		210	310	dmg-fire		232	323	lifesteal		6	12	rep-quant	30			swing2		30	30	dmg-ltng		1	666	pierce-fire		10	20	pierce-ltng		10	20																	0
Boneflame	100	1		1		80	72	nee	succubae skull			3	5000	dred	dred						ac%		120	150	move2		20	20	gethit-skill	Terror	5	3	nec		1	3	res-all		20	30	heal-kill		6	12																									0
Steelpillar	100	1		1		77	69	7p7	war pike			3	5000								dmg%		250	300	swing2		25	25	reduce-ac		20	20	ac%		75	120	rep-dur	25			crush		25	25																									0
Nightwing's Veil	100	1		1		75	67	uhm	spired helm			3	5000	cblu	cblu						ac%		90	120	allskills		2	2	dex		10	20	abs-cold		5	9	half-freeze		1	1	extra-cold		5	10	ease		-50	-50	pierce-cold		5	10	cold-thorns		75	125													0
Crown of Ages	100	1		1		86	82	urn	corona	1		3	5000	dgld	dgld						balance2		30	30	res-all		20	30	res-curs-len		75	75	ac		100	150	indestruct		1	1	red-dmg%		10	15	ac%		50	50	sock		1	2																	0
Andariel's Visage	100	1		1		85	83	usk	demonhead	1		3	5000	dred	dred						ac%		100	150	res-pois		70	70	allskills		2	2	res-pois-max		10	10	swing2		20	20	str		25	30	gethit-skill	92	15	15	charged	278	20	3	lifesteal		8	10	res-fire		-30	-30									0
Darkfear	100	1		2		83	80	ulm	armet			5	5000	blac			invhlmu				ac%		150	200	allskills		1	1	stupidity		2	2	oskill	terror	2	5	hp		75	75		str	15	15	dex		15	15	res-pois		25	25																	0
Dragonscale	100	1		1		84	80	pae	zakarum shield			3	5000	dgrn	dgrn						ac%		170	200	abs-fire%		5	10	res-fire-max		5	5	str		15	25	dmg-fire		211	371	oskill	Hydra	20	20	extra-fire		15	20	cast3		35	35	fire-thorns		166	332													0
Steel Carapice	100	1		1		74	66	uul	shadow plate			3	5000	dgry	dgry						ac%		190	220	balance2		20	20	red-dmg		19	24	res-cold		40	60	allskills		1	1	rep-dur	10			gethit-skill	Iron Maiden	4	26																					0
Medusa's Gaze	100	1		1		84	76	uow	aegis			3	5000	lred	lred		invtowu				ac%		150	180	slow		20	20	gethit-skill	Lower Resist	10	7	lifesteal		5	9	coldskill	 	1	2	res-cold		40	80	cast2		25	40	ease		-50	-50																	0
Ravenlore	100	1		1		82	74	dre	sky spirit			3	5000	dgld	dgld						ac%		120	150	res-all		15	25	skilltab	17	3	3	enr		20	30	pierce-fire		10	20	skill	Raven	7	7																									0
Boneshade	100	1		1		84	79	7bw	lich wand			3	5000	dgry	dgry		invbwnu				nec		2	2	cast2		25	25	skill	Teeth	4	5	skill	Bone Armor	4	5	skill	Bone Spear	2	3	skill	Bone Spirit	1	2	skill	Bone Wall	2	3																					0
Nethercrow	100			1								3	5000	cblu	cblu																																																						0
Flamebellow	100	1		1		79	71	7gs	balrog blade			3	5000	cred	cred		invgisu				dmg%		170	240	dmg-fire		233	482	fireskill		3	3	abs-fire%		10	15	hit-skill	Firestorm	12	16	str		10	20	vit		5	10	oskill	Inferno	12	18	aura	102	22	28													0
Fathom	100	1		1		81	73	obf	dimensional shard			3	5000	lblu							sor		3	3	extra-cold		15	30	cast2		20	30	res-fire		25	40	res-ltng		25	40	heal-kill		2	5																									0
Wolfhowl	100	1		1		85	79	bac	fury visor			3	5000	cred	cred						ac%		120	150	skilltab	14	2	3	str		8	15	dex		8	15	vit		8	15	oskill	Wearwolf	3	6	oskill	Summon Fenris	8	15	oskill	Fury	3	6	oskill	Feral Rage	3	6													0
Spirit Ward	100	1		1		76	68	uts	ward			3	5000	dblu	dblu		invgtsu				ac%		130	180	abs-cold		6	11	res-all		20	30	block		20	30	block2		25	25	gethit-skill	Fade	35	8	randclassskill2		0	6																					0
Kira's Guardian	100	1		1		85	77	ci2	tiara			3	5000	blac	blac						ac		50	120	res-all		25	45	nofreeze		1	1	balance2		20	20	pierce-fire		5	10	pierce-ltng		5	10	pierce-cold		5	10																					0
Ormus' Robes	100	1		1		83	75	uui	dusk shroud			3	5000	blac	blac						ac		10	20	cast2		20	20	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	regen-mana		10	15	skill-rand	3	36	60																					0
Gheed's Fortune	100	1		1		70	62	cm3	charm		1	3	5000	lgld							mag%		20	40	gold%		80	160	cheap		10	15																																					0
Stormlash	100	1		1		86	82	7fl	scourge	1		3	5000	dgry	dgry						dmg%		240	340	swing2		30	30	hit-skill	Static Field	15	10	hit-skill	Tornado	20	18	dmg-ltng		1	473	light-thorns		100	130	crush		33	33	abs-ltng		3	9																	0
Halaberd's Reign	100	1		1		85	77	bae	conqueror crown			3	5000								ac%		140	170	skilltab	13	2	3	bar		2	2	balance2		20	20	regen		25	33	skill	Battle Orders	1	3	skill	Battle Command	1	3	red-dmg%		8	12	att/lvl	18															0
Warriv's Warder	100			1								3	5000																																																								0
Spike Thorn	100	1		1		78	70	upk	blade barrier			5	5000	dyel	dyel		invspku				ac%		120	150	dur		250	250	balance2		30	30	red-dmg%		10	20	dmg-norm		20	50	thorns		550	750	light-thorns		550	750	cold-thorns		550	750	fire-thorns		550	750													0
Dracul's Grasp	100	1		1		84	76	uvg	vampirebone gloves			5	5000	dred	dred						ac%		90	120	lifesteal		7	10	openwounds		25	25	swing2		20	20	heal-kill		5	10	str		10	15																									0
Frostwind	100	1		1		78	70	7ls	cryptic sword			5	5000	cblu	cblu		invlsdu				dmg%		180	270	freeze		4	4	half-freeze		1	1	dmg-cold	150	237	486	swing2		25	25	abs-cold%		7	15	oskill	Arctic Blast	7	14																					0
Templar's Might	100	1		8		82	74	uar	sacred armor			5	5000	cgrn	cgrn		invaaru				ac%		170	220	balance2		20	20	ac-miss		250	300	stam		40	50	str		20	30	vit		20	30	allskills		1	1	aura	98	4	8																	0
Eschuta's temper	100	1		1		80	72	obc	eldritch orb			5	5000	cred							sor		1	3	cast2		40	40	extra-fire		10	20	extra-ltng		10	20	enr		20	30	pierce-fire		1	10	pierce-ltng		1	10																					0
Firelizard's Talons	100	1		1		75	67	7lw	feral claws			5	5000								dmg%		200	270	swing2		15	15	skilltab	20	1	2	dmg-fire		236	480	res-fire		30	60	fireskill		2	3	pierce-fire		5	10																					0
Sandstorm Trek	100	1		1		72	64	uvb	scarabshell boots			5	5000								ac%		140	170	move2		30	30	balance2		20	20	thorns	 	680	740	res-pois		40	70	rep-dur	10			str		10	15	vit		10	15	stam/lvl	8															0
Marrowwalk	100	1		1		74	66	umb	boneweave boots			5	5000	dgry							ac%		170	200	move2		20	20	regen-stam		10	10	regen-mana		10	20	nofreeze		1	1	str		10	20	dex		17	17	skill	Skeleton Mastery	1	2																	0
Heaven's Light	100	1		1		69	61	7sc	mighty scepter			5	5000	cblu	cblu						dmg%		250	300	swing2		20	20	reduce-ac		33	33	light		3	3	demon-heal		15	20	crush		33	33	sock		1	3	pal		2	3																	0
Merman's Speed	100	1		1		77	69	ulb	wyrmhide boots			5	5000	dblu	dblu						move1		65	65	ac		420	420	ac-miss		310	310	regen		5	5	mana/lvl	8			regen-mana		8	8	abs-mag		75	75	res-pois/lvl	8			abs-cold		55	55	nofreeze		1	1									0
Arachnid Mesh	100	1		1		87	80	ulc	spiderweb sash			5	5000	blac	blac						ac%		90	120	cast2		10	20	charged	Venom	31	3	allskills		1	1	slow		20	20	mana%		5	10																									0
Nosferatu's Coil	100	1		1		68	51	uvc	vampirefang belt			5	5000								str		10	15	mana-kill		2	2	slow		10	10	lifesteal		3	6	swing2		20	20	deadly		10	10																									0
Metalgrid	100	1		2		85	81	amu	amulet			5	5000								thorns		700	900	res-all		25	35	att		400	450	oskill	90	10	16	gethit-skill	76	5	8																													0
Verdugo's Hearty Cord	100	1		1		71	63	umc	mithril coil			5	5000	blac	blac						ac%		90	140	vit		30	40	stam		100	120	balance2		10	10	red-dmg%		10	15	regen		10	13																									0
Sigurd's Staunch	100			1								5	5000																																																								0
Carrion Wind	100	1		3		68	60	rin	ring			3	5000								ac-miss		100	160	lifesteal		4	6	res-pois		40	55	thorns	 	460	580	charged	Plague Poppy	35	21	hit-skill	Twister	8	18	move1		5	10																					0
Giantskull	100	1		1		73	65	uh9	bone visage			3	5000	lgry	lgry		invbhm				ac		250	320	str		25	35	crush		25	25	pierce		25	35	knock		1	1	dmg%		30	60																									0
Ironward	100	1		1		68	60	7ws	caduceus			3	5000	blac	blac						dmg%		240	290	slow		25	25	att%		150	200	swing2		40	40	dmg-mag		160	480	red-dmg		4	7	dmg		40	85	skilltab	9	2	4	crush		33	33													0
Annihilus	100	1		1		110	70	cm1	charm		1	3	5000			flpmss	invmss	item_gem	12	item_gem	allskills		1	1	all-stats		10	20	res-all		10	20	addxp		5	10																																	0
Arioc's Needle	100	1		1		85	81	7sr	hyperion spear			3	5000								dmg%		240	290	dmg-pois	100	1008	1008	deadly		50	50	ignore-ac		1	1	allskills		2	4	swing2		30	30																									0
Cranebeak	100	1		1		71	63	7mp	war spike			3	5000	dgry			invmpiu				dmg%		240	300	dmg-ltng		1	305	swing2		40	40	reduce-ac		25	25	mag%		30	60	oskill	221	8	8																									0
Nord's Tenderizer	100	1		1		76	68	7cl	truncheon			3	5000				invclbu				dmg%		270	330	freeze		2	4	swing2		25	25	charged	Blizzard	12	16	att%		150	180	abs-cold%		5	15	dmg-cold	125	205	455																					0
Earthshifter	100	1		1		77	69	7gm	thunder maul			3	5000								dmg%		250	340	hit-skill	Eruption	25	14	crush		33	33	swing2		40	40	charged	Volcano	30	14	skilltab	17	7	7	cast2		40	40																					0
Wraithflight	100	1		1		84	76	7gl	ghost glaive			3	5000	dblu	dblu						dmg%		150	290	rep-quant	40			lifesteal		9	13	mana-kill		5	15	ethereal		1	1	pierce		30	30																									0
Bonehew	100	1		1		72	64	7o7	ogre axe			3	5000	bwht	bwht						dmg%		270	320	swing2		30	30	charged	Corpse Explosion	30	14	hit-skill	Bone Spear	50	25	noheal		1	1	sock		2	2																									0
Ondal's Wisdom	100	1		1		74	66	6cs	elder staff			3	5000				invcstu				cast2		85	85	enr		40	50	allskills		2	4	ac		750	950	red-mag		10	16																													0
The Reedeemer	100	1		1		80	72	7sc	mighty scepter			3	5000								dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-60	skill	Redemption	2	4	skill	Holy Bolt	2	4	light		3	3	reduce-ac		33	33	dmg		60	120	skill	119	2	4									0
Headhunter's Glory	100	1		1		83	75	ush	troll nest			3	5000				invbshu				ac		320	420	ac-miss		300	350	res-pois		30	40	sock		1	3	res-fire		20	30	heal-kill		5	7	att-skill	66	8	15	att		280	445	move2		25	25													0
Steelrend	100	1		1		78	70	uhg	ogre gauntlets			3	5000								ac		170	210	str		15	20	dmg%		40	80	crush		10	10	splash	proc_SplashDamage	100	1																													0
Rainbow Facet1	100	1		1		85	49	jew	jewel			3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	hit-skill	Chain Lightning	3	47																																	0
Rainbow Facet2	100	1		1		85	49	jew	jewel			3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	hit-skill	Blizzard	3	37																																	0
Rainbow Facet3	100	1		1		85	49	jew	jewel			3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	hit-skill	Meteor	3	31																																	0
Rainbow Facet4	100	1		1		85	49	jew	jewel			3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	hit-skill	Poison Nova	3	51																																	0
Rainbow Facet5	100	1		1		85	49	jew	jewel			3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	gethit-skill	Nova	3	41																																	0
Rainbow Facet6	100	1		1		85	49	jew	jewel			3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	gethit-skill	Frost Nova	3	43																																	0
Rainbow Facet7	100	1		1		85	49	jew	jewel			3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	gethit-skill	Blaze	3	29																																	0
Rainbow Facet8	100	1		1		85	49	jew	jewel			3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	gethit-skill	Venom	3	23																																	0
Hellfire Torch	100	1		1		110	75	cm2	charm		1	3	5000			flptrch	invtrch	item_gem	12	item_gem	randclassskill		0	6	all-stats		10	20	res-all		10	20	light		8	8	hit-skill	197	10	25	gethit-skill	Hydra	10	30																									0
StandardCharm	100	1		1		90	90	std	charm		1	3	5000			flpflag	invflag				allskills		1	1	reanimate	23	10	10	res-curs-len		50	50																																					0
Rainbow Facet9	100	1		1		85	49	jew	jewel			3	5000								dmg-mag		13	42	pierce-mag		3	5	extra-mag		3	5	hit-skill	84	3	57																																	0
Rainbow Faceta	100	1		1		85	49	jew	jewel			3	5000								dmg-mag		13	42	pierce-mag		3	5	extra-mag		3	5	gethit-skill	93	3	55																																	0
TALONRAGE UNIQUES																																																																					0
Axes , 1-Handed																																																																					0
Gangrene Reaper	100	1		2		9	6	hax	hand axe			5	5000	cgrn	cgrn		uni001				dmg%		100	150	dmg-pois	100	55	55	noheal		1	1	rep-dur	15			str		5	10																													0
